key|german|english|source|status
AppointmentType.COUNCIL|Konsil|Council|ApplicationResources|OK
AnamnesisType.MEDICATION|Medikamentenanamnese|Medication history|ApplicationResources|OK
AppointmentType.SHIFT|Bereitschaft|Shift|ApplicationResources|OK
AppointmentState|Status|State|ApplicationResources|OK
CommunicationType|Verbindungsart|connection type|ApplicationResources|OK
AppointmentType.APPOINTMENT|Sprechstunde|Appointment|ApplicationResources|OK
CommunicationType.email|E-Mail|E-Mail|ApplicationResources|OK
AppointmentType.COUNCIL|Konsil|Council|ApplicationResources|OK
CommunicationType.phone|Telefon|Phone|ApplicationResources|OK
AppointmentType.SHIFT|Bereitschaft|Shift|ApplicationResources|OK
CommunicationType.vcgo|VC to Go (Tablet)|VC to Go|ApplicationResources|OK
CommunicationType|Verbindungsart|connection type|ApplicationResources|OK
CommunicationType.video|Video|Video|ApplicationResources|OK
CommunicationType.email|E-Mail|E-Mail|ApplicationResources|OK
ConsultationState.CLOSED|Abgeschlossen|Closed|ApplicationResources|OK
CommunicationType.phone|Telefon|Phone|ApplicationResources|OK
ConsultationState.CREATED|Erstellt|Created|ApplicationResources|OK
CommunicationType.vcgo|VC to Go (Tablet)|VC to Go|ApplicationResources|OK
ConsultationState.OPEN|Offen|Open|ApplicationResources|OK
CommunicationType.video|Video|Video|ApplicationResources|OK
ConsultationState.REPORTED|Bericht|Report|ApplicationResources|OK
ConsultationState.CLOSED|Abgeschlossen|Closed|ApplicationResources|OK
ConsultationState.TRANSMITTED|\u00DCbermittelt|Transmitted|ApplicationResources|OK
ConsultationState.CREATED|Erstellt|Created|ApplicationResources|OK
ConsultationState.VERIFIED|Verfiziert|Verified|ApplicationResources|OK
ConsultationState.OPEN|Offen|Open|ApplicationResources|OK
ConsultationType|Konsultationstyp|Consultation type|ApplicationResources|OK
ConsultationState.REPORTED|Bericht|Report|ApplicationResources|OK
ConsultationType.DOCUMENT|Konsiliarbericht|Consil Psychiatry|ApplicationResources|OK
ConsultationState.TRANSMITTED|\u00DCbermittelt|Transmitted|ApplicationResources|OK
ConsultationType.EXTERNAL|Extern|External|ApplicationResources|OK
ConsultationState.VERIFIED|Verfiziert|Verified|ApplicationResources|OK
ConsultationType.INCARCERATION|Gewahrsamstauglichkeit|Incarceration-suitability|ApplicationResources|OK
ConsultationType|Konsultationstyp|Consultation type|ApplicationResources|OK
ConsultationType.ONBOARDING|Komplette Zugangsuntersuchung|Onboarding|ApplicationResources|OK
ConsultationType.DOCUMENT|Konsiliarbericht|Consil Psychiatry|ApplicationResources|OK
ConsultationType.ONBOARDING_SHORT|Kurze Zugangsuntersuchung|Quick Onboarding|ApplicationResources|OK
ConsultationType.EXTERNAL|Extern|External|ApplicationResources|OK
ConsultationType.STANDARD|Normale Konsultation|Basic|ApplicationResources|OK
ConsultationType.INCARCERATION|Gewahrsamstauglichkeit|Incarceration-suitability|ApplicationResources|OK
EquipmentStatus|Status|Status|ApplicationResources|OK
ConsultationType.ONBOARDING|Komplette Zugangsuntersuchung|Onboarding|ApplicationResources|OK
FurtherTreatment.FOLLOW_UP|Folgetermin|follow-up appointment|ApplicationResources|OK
ConsultationType.ONBOARDING_SHORT|Kurze Zugangsuntersuchung|Quick Onboarding|ApplicationResources|OK
FurtherTreatment.REFERRAL|Einweisung|hospital admission|ApplicationResources|OK
ConsultationType.STANDARD|Normale Konsultation|Basic|ApplicationResources|OK
IncarcerationType|Gewahrsamkeits-Typ|Custody type|ApplicationResources|OK
EquipmentStatus|Status|Status|ApplicationResources|OK
IncarcerationType.LIABILITY.note|Nur bei Auswahl Haftf\u00E4higkeit|Only when selecting adhesion|ApplicationResources|OK
FurtherTreatment.FOLLOW_UP|Folgetermin|follow-up appointment|ApplicationResources|OK
Month.DEC|Dezember|December|ApplicationResources|OK
FurtherTreatment.REFERRAL|Einweisung|hospital admission|ApplicationResources|OK
Month.JAN|Januar|January|ApplicationResources|OK
IncarcerationType|Gewahrsamkeits-Typ|Custody type|ApplicationResources|OK
PatientData.Attachments.UploadedFiles|Hochgeladene Dateien|Uploaded Files|ApplicationResources|OK
IncarcerationType.LIABILITY.note|Nur bei Auswahl Haftf\u00E4higkeit|Only when selecting adhesion|ApplicationResources|OK
Prescription.dosageAmount|Dosierhinweise|Dosage Amount|ApplicationResources|OK
Month.DEC|Dezember|December|ApplicationResources|OK
Prescription.dosageRequirement|Bedarfsregel|Dosage Requirement|ApplicationResources|OK
Month.JAN|Januar|January|ApplicationResources|OK
Questionaire.countEntries|Anzahl Einweisungen|Number of admissions|ApplicationResources|OK
PatientData.Attachments.UploadedFiles|Hochgeladene Dateien|Uploaded Files|ApplicationResources|OK
Questionaire.countFollowUps|Anzahl Folgetermine|Number of follow-up appointments|ApplicationResources|OK
Prescription.dosageAmount|Dosierhinweise|Dosage Amount|ApplicationResources|OK
Questionaire.countReferals|Anzahl \u00DCberweisungen|Number of transfers|ApplicationResources|OK
Prescription.dosageRequirement|Bedarfsregel|Dosage Requirement|ApplicationResources|OK
Questionaire.countRepeatEntry|Anzahl Wiedervorstellung bei Verschlechterung|Number of re-presentations in the event of deterioration|ApplicationResources|OK
Questionaire.countEntries|Anzahl Einweisungen|Number of admissions|ApplicationResources|OK
Questionaire.ratingRisk|Risiko|Risk|ApplicationResources|OK
Questionaire.countFollowUps|Anzahl Folgetermine|Number of follow-up appointments|ApplicationResources|OK
Questionaire.requireReporting|M\u00F6chten Sie, dass Ihr Fall an die \u00C4rztliche Leitung der Videoclinic zur Einsicht weitergegeben wird?|Would you like your case to be forwarded to the medical management of the video clinic for review?|ApplicationResources|OK
